text,intent
receh banget sih,casual_banter
gue ketawa dikit,casual_banter
oke gas lanjut,casual_banter
aku baru selesai mandi,reflective_companion
lagi nunggu makanan,reflective_companion
aku di jalan pulang,reflective_companion
barusan buka aplikasi,reflective_companion
hari ini lumayan biasa,reflective_companion
aku lagi nyari topik,reflective_companion
tadi cuma scroll hp,reflective_companion
aku pengen cerita pelan pelan,reflective_companion
